UIN,Incident_month,Incident_year,Victim_injury,State,Location,Latitude,Longitude,Site_category,Shark_common_name,Provoked_unprovoked,No_sharks,Victim_activity,Shark_behaviour,Victim_aware_of_shark,Injury_location,Injury_severity,Victim_gender,Time_of_incident,Depth_of_incident_m,Data_source,Reference,
986,12,2014,fatal,WA,"cheynes beach, albany",-34.88003124,118.404958,coastal,white shark,provoked,1,spearfishing,bit victim on leg,,leg,major lacerations,male,1220,,media outlet,abc.net 30.12.2014,
987,12,2014,fatal,QLD,"rudder reef, port douglas",-16.2,145.75,island open ocean,tiger shark,provoked,1,spearfishing,bit victim on thigh & arm,,"arm, leg",major lacerations,male,1100,,media outlet,abc.net.au 14.1.2015,
988,1,2015,uninjured,NSW,"byron bay, wategos beach",-28.63333333,153.6166667,coastal,white shark,unprovoked,1,boarding,bit surfboard which broke in half,,other: uninjured,,female,,,media outlet,abc.net.au 21.1.2015,
989,1,2015,injured,NSW,"port stephens, piggies beach",-32.68333333,152.0333333,coastal,wobbegong,provoked,1,other: standing in water,bit victim on foot,,foot,minor lacerations,male,1700,,government report,fisheries email 6.1.2015,
990,1,2015,uninjured,QLD,"nerang river, surfers paradise",-27.63333333,153.45,river,bull shark,unprovoked,1,unmotorised boating,bit hull,,other: uninjured,,male,0500,0,media outlet,goldcoastbulletin.com.au 31.1.2015,
991,1,2015,uninjured,NSW,"ballina, flat rock",-28.83333333,153.6,coastal,white shark,unprovoked,1,boarding,bumped surfboard,,other: uninjured,,male,1100,0,media outlet,northernstar.com.au 26.1.2015,
992,1,2015,injured,NSW,mollymook,-35.33333333,150.4666667,coastal,bronze whaler shark,provoked,1,spearfishing,bit vitims hand & speargun,Y,hand,minor lacerations,male,,,media outlet,smh 19.1.2015,
993,2,2015,injured,NSW,"ballina, seven mile beach",-28.88333333,153.5666667,coastal,white shark,unprovoked,1,boarding,bit victim on board,,"torso, pelvic region",major lacerations,male,0600,0,media outlet,gold coast bulletin 9.2.2015,
994,2,2015,fatal,NSW,"ballina, shelly beach",-28.85,153.5833333,coastal,white shark,unprovoked,1,boarding,bit victim on board,,leg,major lacerations,male,,0,media outlet,smh.com.au 9.2.2015,
995,2,2015,injured,NSW,"merewether beach, newcastle",-32.95,151.75,coastal,wobbegong,unprovoked,1,swimming,bit victim on leg,,leg,minor lacerations,male,,,media outlet,the daily telegraph 6.2.2015,
996,3,2015,injured,NSW,"lord howe island, ned's beach",-31.51666667,159.05,estuary/harbour,galapagos shark,provoked,1,swimming,bit victim on leg,Y,leg,minor lacerations,female,1200,0,government report,nsw fisheries questionnaire & emails 24.3.2015,
997,4,2015,injured,NSW,"lord howe island, ned's beach",-31.51666667,159.05,coastal,galapagos shark,provoked,1,swimming,bit victim on leg,Y,leg,minor lacerations,male,1630,0.9,government report,nsw fisheries email 20.4.2015,
998,4,2015,injured,NSW,"mackenzies beach, bateman's bay",-35.8,150.2166667,coastal,wobbegong,provoked,1,boarding,bit victim on ankle,,foot,minor lacerations,male,0630,1,government report,nsw fisheries emails 12.4.2015,
999,4,2015,injured,SA,fishery bay nr port lincoln,-34.86666667,135.7666667,coastal,white shark,unprovoked,1,boarding,bit victim on leg,,leg,major lacerations,male,0945,0,media outlet,the advertiser 26.4.2015,
1000,5,2015,injured,NSW,"saltwater point, nr taree",-32.01666667,152.5333333,coastal,white shark,unprovoked,1,boarding,bit victim on arm,,"arm, hand",major lacerations,male,1430,0,media outlet,the daily telegraph 4.5.2015,
1001,6,2015,injured,WA,"ocean beach, demark",-35.01666667,117.3333333,coastal,white shark,unprovoked,1,boarding,bit surfboard,,"head, hand",surface wound,female,0930,0,media outlet,abc.net.au 24.6.2015,
1002,6,2015,injured,WA,"rottnest island, natural jetty",-31.98333333,115.5333333,island open ocean,wobbegong,provoked,1,swimming,bit victim on arm,Y,arm,minor lacerations,male,,0.5,media outlet,king 7 news 26.6.2015,
1003,6,2015,uninjured,NSW,"byron bay, belongi beach",-28.63333333,153.6,coastal,white shark,unprovoked,1,boarding,bit surf ski,,other: uninjured,,male,1115,0,government report,northern star 24.6.2015,
1004,6,2015,injured,NSW,"mill point, south durras",-35.65,150.2833333,coastal,tiger shark,provoked,1,spearfishing,bit victim on flipper / foot,Y,foot,minor lacerations,male,1700,2,government report,nsw fisheries report 4.6.2015,
1005,7,2015,uninjured,QLD,burleigh heads,-28.1,153.465,coastal,white shark,unprovoked,1,boarding,bit surf ski - rear,,other: uninjured,,male,1000,0,media outlet,abc.net.au 22.7.2015,
1006,7,2015,fatal,TAS,maria island,-42.63333333,147.9833333,coastal,white shark,provoked,1,diving,bit victim on torso,,"torso, pelvic region",major lacerations,male,0800,,media outlet,abc.net.au 27.7.2015,
1007,7,2015,uninjured,TAS,maria island,-42.63333333,147.9833333,estuary/harbour,white shark,provoked,1,diving,bumped victim,Y,other: uninjured,,male,0800,,media outlet,abc.net.au 27.7.2015,
1008,7,2015,injured,NSW,"evans head, main beach",-29.1,153.4333333,coastal,white shark,unprovoked,1,boarding,"bit surfboard, leg & hand",,"leg, hand",major lacerations,male,0600,0,media outlet,daily telegraph 31.7.2015,
1009,7,2015,uninjured,NSW,lennox head,-28.78333333,153.5833333,coastal,white shark,unprovoked,1,boarding,bit surfboard,,other: uninjured,,male,0900,0,media outlet,daily telegraph 4.7.2015,
1010,7,2015,injured,NSW,"yamba, flat rock, pippi beach",-29.43333333,153.3666667,coastal,white shark,unprovoked,1,boarding,bit surfboard & hand,,"arm, hand",major lacerations,male,,0,media outlet,dailyexaminer.com.au 8.7.2015,
1011,7,2015,injured,VIC,tyrendarra beach,-38.25,141.7833333,coastal,white shark,unprovoked,1,boarding,bit rear of surfboard,,"arm, hand",minor lacerations,male,,0,media outlet,mobile.abc.net.au 27.7.2015,
1012,7,2015,injured,NSW,"ballina, lighthouse beach",-28.86666667,153.5833333,coastal,white shark,unprovoked,1,boarding,bit victim on legs,,leg,major lacerations,male,1015,0,media outlet,smh 2.7.2015,
1013,8,2015,injured,NSW,"port macquarie, lighthouse beach",-31.46666667,152.9166667,coastal,white shark,unprovoked,1,boarding,bit board & surfer,,thigh,major lacerations,male,1700,0,media outlet,abc.net.au 24.6.2015,
1014,8,2015,uninjured,QLD,"davies reef, off townsville",-18.83333333,147.6333333,island open ocean,tiger shark,unprovoked,1,boarding,bit backpak,,other: uninjured,,female,,0,media outlet,courier mail 18.8.2015,
1015,9,2015,injured,NSW,"north shelly beach, gosford",-33.05,152.5333333,coastal,,provoked,1,boarding,bit board & injured hand ,,"arm, hand",minor lacerations,male,0615,0,media outlet,9news.com.au 8.9.2015,
1016,9,2015,injured,NSW,black head beach,-32.06666667,152.5333333,coastal,white shark,unprovoked,1,boarding,bit victims foot ankle,,foot,major lacerations,male,1200,0,media outlet,smh.com.au 7.9.2015,
1017,9,2015,injured,QLD,"russell island, frankland islands, gbr",-17.21666667,146.0833333,island open ocean,,unprovoked,1,snorkelling,bit victim on leg,,leg,major lacerations,female,,,media outlet,the cairns post 28.9.2015,
1018,10,2015,injured,WA,"cheynes beach, albany, wa",-34.88003124,118.404958,coastal,white shark,provoked,1,spearfishing,"bit victim on right side, including stomach and arm. shook vigourously and released. ",,"arm, torso, hand, shoulder ",minor lacerations,male,1130,,media outlet,daily mail 30.10.2015,
1019,10,2015,injured,WA,"pyramids beach, mandurah",-32.6,115.6166667,coastal,grey nurse shark,unprovoked,1,boarding,bit victim on foot,,foot,minor lacerations,male,1650,1,media outlet,mandurahmail.com.au 9.10.2015,
1020,11,2015,injured,NSW,"ballina, north wall",-28.86666667,153.5833333,coastal,bull shark,unprovoked,1,boarding,bit board & victim,,thigh,major lacerations,male,1815,0,media outlet,daily telegraph 11.11.2015,
1021,1,2016,injured,QLD,caloundra,-26.8,153.1333333,coastal,wobbegong,provoked,1,boarding,bit foot,,foot,major lacerations,male,,0.3,media outlet,abc sunshine coast 12.1.2016,
1022,1,2016,injured,QLD,heron island,-23.43333333,151.9,island open ocean,blacktip reef shark,unprovoked,1,swimming,bit leg,,calf,major lacerations,male,,0.5,media outlet,abc.net.au 5.1.2016,
1023,1,2016,injured,QLD,"miall island, yeppoon",-23.15,150.9,coastal,tiger shark,provoked,1,spearfishing,bit arms & leg,,"arm, leg",major lacerations,male,1200,0,media outlet,the morning bulletin 5.1.2016,
1024,2,2016,uninjured,NSW,hams beach (part of caves beach),-34,151.65,island open ocean,white shark,unprovoked,1,boarding,bit sailboard,,other: uninjured,,male,,0,government report,dpi email 5.2.2016,
1025,2,2016,injured,NSW,barrenjoey,-23.56666667,151.3166667,coastal,wobbegong,provoked,1,spearfishing,bit arm,,arm,minor lacerations,male,,,government report,email,
1026,2,2016,uninjured,TAS,"nettley bay, marrawah",-40.91666667,144.6166667,coastal,white shark,unprovoked,1,boarding,bumped board,,other: uninjured,,male,1230,0,media outlet,the mercury.com.au 12.2.2016,
1027,3,2016,uninjured,NSW,cresent head,-31.18333333,152.9666667,coastal,white shark,unprovoked,1,boarding,,,,,male,,0,media outlet,,
1028,3,2016,injured,SA,wrights bay beach,-37.03333333,139.7333333,coastal,bronze whaler shark,provoked,1,fishing,eating captured ray,Y,,minor lacerations,male,2330,1,media outlet,9news.com.au 3.3.2016,
1029,3,2016,uninjured,NSW,"cronulla beach, sydney",-34.03333333,151.15,coastal,white shark,unprovoked,1,boarding,bit leg rope,,other: uninjured,,male,1100,0,media outlet,daily telegraph 29.3.2016,
1030,3,2016,injured,NSW,"bombo beach, kiama",-34.65,150.85,coastal,white shark,unprovoked,1,boarding,bit victim on leg,,leg,major lacerations,male,1900,,media outlet,illawarramercury.com.au 30.3.2016,
1031,4,2016,injured,NSW,"main beach, byron bay",-28.63333333,153.6,coastal,wobbegong,provoked,1,swimming,bit victim on foot,,foot,minor lacerations,male,1030,1,media outlet,northernstar.com.au,
1032,5,2016,fatal,WA,"gearies beach, mandurah",-32.58333333,115.6333333,coastal,white shark,unprovoked,1,boarding,bit leg,,leg,major lacerations,male,,,media outlet,http://www.abc.net.au/news/2016-06-04/mandurah-shark-attack-victim-ben-gerring-dies-in-hospital/7477300,
1033,5,2016,uninjured,NSW,kingscliff ,-28.25276667,153.5921833,coastal,bronze whaler shark,provoked,2,spearfishing,contacted flipper,Y,other: uninjured,,male,1730,0,media outlet,http://www.goldcoastbulletin.com.au/lifestyle/beaches-and-fishing/pack-of-hungry-sharks-chases-spearfishermen-at-kingscliff-with-fears-of-attacks/news-story/b8e9a9950836cedf622bdc09f2c04459,
1034,6,2016,fatal,WA,"one mile reef, mindarie",-31.66666667,115.6666667,ocean/pelagic,white shark,unprovoked,1,diving,,,,major lacerations,female,,,,,
1035,6,2016,injured,WA,coral bay coast,-23.02411667,113.1294,ocean/pelagic,grey reef shark,provoked,1,spearfishing,charged at speargun,Y,,,male,,,media outlet,http://www.perthnow.com.au/news/western-australia/sharks/wa-spear-fisherman-jumped-by-angry-shark-off-coral-bay-coast/news-story/218d2c59174a936e9d1f008b43fca026,
1036,6,2016,uninjured,NSW,minnamurra,-34.6215,150.8568,coastal,,unprovoked,1,boarding,dorsal fin surfaced near victim,,other: uninjured,,male,1643,,media outlet,https://www.goldcoastbulletin.com.au/lifestyle/beaches-and-fishing/pack-of-hungry-sharks-chases-spearfishermen-at-kingscliff-with-fears-of-attacks/news-story/b8e9a9950836cedf622bdc09f2c04459,
1037,6,2016,uninjured,NSW,kingscliff,-28.2646,153.5777,coastal,bronze whaler shark,provoked,1,spearfishing,"hit the fins, and spearguns of victims",,other: uninjured,,male,1630,,media outlet,Dorsal reports,
1038,7,2016,uninjured,NSW,"big rocky, port stephens",-32.717,152.1049,coastal,,provoked,1,spearfishing,,,other: uninjured,,male,,,,,
1039,7,2016,uninjured,NSW,"sharpes beach, ballina",-28.8377,153.6044,coastal,white shark,unprovoked,1,boarding,,,other: uninjured,,male,1200,3,,,
1040,7,2016,uninjured,NSW,cauarina beach,-28.3037,153.5742,coastal,white shark,unprovoked,1,boarding,circled surfer and then came back and knocked off the paddle boarder. ,,other: uninjured,,male,740,,,,
1041,9,2016,uninjured,VIC,"bells beach, winkipop reef",-38.06115,144.04745,coastal,white shark,unprovoked,1,boarding,,,,,male,,,,,
1042,9,2016,injured,NSW,"lighthouse beach, ballina",-28.86666667,153.5833333,coastal,white shark,unprovoked,1,boarding,bit victim on leg,,leg,minor lacerations,male,,,,,
1043,9,2016,uninjured,WA,"injidup beach, yallingup",-33.11656667,114.1649,coastal,white shark,unprovoked,1,boarding,bumped board from below,,other: uninjured,,male,,0,media outlet,http://www.watoday.com.au/wa-news/surfer-thanks-brother-for-saving-his-life-after-shark-attack-off-wa-coast-20160905-gr9hef.html,
1044,10,2016,injured,QLD,"kings beach, sunshine coast",-27.335,153.235,coastal,white shark,unprovoked,1,boarding,,,"leg, torso",minor lacerations,male,1800,,media outlet,http://www.dailytelegraph.com.au/news/nsw/shark-attack-dont-tell-mum-cooper-allen-says-after-great-white-mauls-surfer-off-lighthouse-beach-ballina/news-story/72b038156db8edb90e53fc96947e6950,
1045,10,2016,injured,NSW,"sharpes beach, ballina",-28.83333333,153.6,coastal,white shark,unprovoked,1,boarding,bit board,,leg,minor lacerations,male,1030,0,media outlet,http://www.goldcoastbulletin.com.au/lifestyle/beaches-and-fishing/surfer-at-ballina-lucky-to-escape-serious-injury-after-shark-attacks-him-and-board/news-story/c21706e10a342fb891144942d5f640c7,
1046,10,2016,injured,NSW,"tallows beach, byron bay",-33.08945,151.0587667,coastal,white shark,unprovoked,1,boarding,bit victim on leg,,leg,minor lacerations,male,,,media outlet,http://www.smh.com.au/nsw/surfer-jade-fitzpatrick-still-in-shock-after-being-bitten-by-shark-on-nsw-north-coast-20161024-gs9qj3.html,
1047,10,2016,injured,QLD,"whitehaven beach, whitsunday island",-20.23333333,148.95,coastal,lemon shark,provoked,1,swimming,bit victim when he grabbed the shark by the tail,Y,arm,minor lacerations,male,,0,media outlet,https://www.whitsundaytimes.com.au/news/shark-bites-back-after-teenager-grabs-its-tail/3097197/,
1048,12,2016,injured,NSW,"the ruin, booti booti national park",-32.30595,152.52275,coastal,white shark,unprovoked,1,boarding,shark came up under board and broke board and pulled him under by leg rope,,"arm, foot",major lacerations,male,0900,0,media outlet,http://www.abc.net.au/news/2016-12-01/65yo-man-bitten-by-great-white-shark-mid-north-coast/8082360,
1049,12,2016,uninjured,QLD,lockhart river,-12.45183333,143.3444167,river,bull shark,provoked,,spearfishing,swam towards spearfisherman,Y,other: uninjured,,male,,6,media outlet,http://www.abc.net.au/news/2017-01-10/bull-shark-attacks-man-off-far-north-queensland-coast/8172256,
1050,12,2016,injured,WA,"bundegi sanctuary zone, exmouth",-21.15741667,114.0218833,coastal,whaler shark,unprovoked,,snorkelling,victim never saw shark,,"torso, pelvic region",minor lacerations,female,,5,media outlet,http://www.news.com.au/technology/science/animals/shark-attack-female-snorkeller-bitten-on-the-buttocks-in-wa/news-story/dba6bbe6dbeeb53dd7ea8c9689183c41,
1051,12,2016,injured,WA,trigg beach,-31.14531667,115.1265,coastal,,unprovoked,,snorkelling,shark bit his left foot whilst he was diving,,foot,minor lacerations,male,,,media outlet,http://www.perthnow.com.au/news/western-australia/perth-diver-bitten-on-ankle-by-shark-at-trigg-beach/news-story/25a55ce0fbcebb1826b11751ebef0fb8,
1052,1,2017,injured,QLD,"murry island, torres strait, (80km east)",-9.863916667,144.7908167,island open ocean,whaler shark,unprovoked,,snorkelling,multiple bites,,"hand, arm, torso",major lacerations,male,,,media outlet,http://www.abc.net.au/news/2017-01-21/shark-attacks-man-diving-on-great-barrier-reef-at-murray-island/8200708,
1053,1,2017,injured,NSW,merrimbula main beach,-36.88666667,149.9131833,estuary/harbour,wobbegong,provoked,,swimming,bit foot,,foot,minor lacerations,male,,1,media outlet,http://www.merimbulanewsweekly.com.au/story/4385991/shark-bites-mornington-mans-foot-at-merimbula-beach/,
1054,1,2017,injured,QLD,flaggy rock,-21.96676667,149.4843833,coastal,,unprovoked,1,swimming,bit hand,,hand,minor lacerations,male,1330,,media outlet,http://www.trackingsharks.com/man-bitten-shark-queensland/,
1055,1,2017,uninjured,QLD,northern tip of cape york (unknown location),-10.65406667,142.5072333,coastal,whaler shark,provoked,1,spearfishing,,,other: uninjured,,male,,,media outlet,www.dailymail.co.uk/news/article-4100802/get-jaws-heart-stopping-footage-shows-diver-attacked-killer-bull-shark-great-barrier-reef.html#ixzz4gjxirs6s ,
1056,2,2017,uninjured,WA,"falcon bay, mandurah",-32.567,115.65,coastal,,unprovoked,1,boarding,surfer's board struck by 2m unknown species,,,,male,0730,,,,
1057,2,2017,injured,QLD,hinchinbrook island,-18.24948333,146.1839333,island open ocean,tiger shark,unprovoked,,snorkelling,bit victim on leg,,leg,major lacerations,male,,1,media outlet,http://www.abc.net.au/news/2017-02-19/queensland-shark-attack-victim-glenn-dickson-critical-surgery/8283990,
1058,2,2017,injured,WA,mauds point coral bay,-23.2411667,113.1294,coastal,bull shark,unprovoked,1,snorkelling,bit hand,,hand,minor lacerations,female,,,media outlet,http://www.watoday.com.au/wa-news/swimmer-bitten-by-bull-shark-in-coral-bay-20170227-gumbjt.html,
1059,3,2017,injured,NSW,"the farm, killalea state park",-34.60465,150.8677833,coastal,,unprovoked,1,boarding,a small shark tried to bit surfer on buttock,,"torso, pelvic region",minor lacerations,male,1830,,media outlet,http://www.illawarramercury.com.au/story/4539883/bodyboarder-bitten-on-the-butt-by-shark-at-the-farm/,
1060,4,2017,uninjured,QLD,moreton bay off redcliff,-27.05206667,153.05745,coastal,,unprovoked,1,unmotorised boating,bit kayak,,other: uninjured,,male,1500,,media outlet,http://www.abc.net.au/news/2017-04-03/sunshine-coast-kayaker-tells-shark-encounter-off-brisbane/8411798,
1061,4,2017,injured,NSW,"one mile beach, port stephens",-32.7667,152.1127,coastal,grey nurse shark,provoked,1,boarding,"SURFED INTO THE SHALLOWS JUMPED OFF BOARD WHEN VICITM WAS KOCKED OVER BY SHARK AND BITTEN ON LEFT FOOT, VICTIM KICKED OUT AT SHARK THEN JUMPED UP AND LANDED ON SHARK BEFORE VICTIM AND SHARK SWAM AWAY",,left foot,minor lacerations,male,1700,1,other questionnaire (DPI),,
1062,4,2017,fatal,WA,"the kelp beds, wylie bay, esperance",-33.83250092,121.9968696,coastal,white shark,unprovoked,1,boarding,bit board and left leg,,leg,major lacerations,female,1600,0,ASAF questionnaire,http://www.abc.net.au/news/2017-04-18/wa-shark-attack-esperance-beach-to-remain-closed-teenage-girl/8448526,
1063,6,2017,uninjured,NSW,avoca beach,-33.0775,151.0725,coastal,white shark,unprovoked,1,boarding,bumped board,,other: uninjured,,male,1700,,government report,dpi questionnaire,
1064,6,2017,uninjured,WA,"casuarina point, bunbury",-33.3146,115.635,coastal,white shark,unprovoked,1,boarding,,,,,,,,,http://www.abc.net.au/news/2017-08-29/surfer-fends-off-shark-near-lorne/8852186,
1065,8,2017,injured,VIC,"cathedral point, lorne",-38.5367,143.9715,coastal,white shark,unprovoked,1,boarding,"then it kind of dived off, came back and circled me, and took a fair notch out of my board, circled me again, then it got me on my wettie, it got me on my hip.",,pelvic region,minor lacerations,male,,,,,
1066,9,2017,injured,NSW,main beach illuka,-29.59387,153.3322,coastal,white shark,unprovoked,,boarding,,,,,,,,,,
1067,9,2017,uninjured,WA,"north point beach, gracetown",-33.8585,114.9843,coastal,white shark,unprovoked,1,boarding,,,,,female,,,,,
1068,9,2017,injured,WA,"sams creek, karratha",-20.61367,117.1863,estuary/harbour,whaler shark,unprovoked,1,swimming,,,leg,,male,1500,,,,
1069,10,2017,uninjured,SA,"lady bay, normanville, adelaide",-35.448,138.318,coastal,white shark,unprovoked,1,unmotorised boating,,,,,female,,,,,
1070,10,2017,injured,NSW,"birubi beach, port stephens",-32.798333,152.079167,coastal,wobbegong,provoked,1,boarding,awaiting dpi investigation,,foot,minor lacerations,male,0900,,,http://mobile.abc.net.au/news/2017-10-28/shark-attack-closes-birubi-beach-nsw/9095942?pfmredir=sm,
1071,11,2017,injured,NSW,avoca beach,-33.465,151.435,coastal,white shark,unprovoked,1,boarding,shark approached from right hand side and knocked victim off board,,arm,minor lacerations,male,1600,,,,
1072,12,2017,uninjured,NSW,"birubi, port stephens",-32.7876,152.08002,coastal,grey nurse shark,unprovoked,1,boarding,bumped board,,,,male,540,,,DPI QUESTIONAIRE,
1073,1,2018,injured,WA,"cone bay, kimberley",-16.4683,123.5353,other: fish farm,bull shark,provoked,1,swimming,,,,,male,,,,,
1074,1,2018,injured,NSW,"five islands, wollongong",-34.425072,150.893143,island open ocean,white shark,unprovoked,1,snorkelling,shark approached from behind and bit victims fin which came off,,,surface wound,female,0900,,,,
1075,1,2018,injured,WA,gracetown,-33.8416,115.0221,coastal,wobbegong,unprovoked,,boarding,sufer was sitting on his board when he was bitten on the heal by shark. ,,foot,minor lacerations,male,1800,,,,
1076,1,2018,injured,QLD,lizard island,-14.668,145.4638,island open ocean,grey reef shark,provoked,1,snorkelling,,,,major lacerations,male,,,,https://www.news.com.au/finance/work/at-work/volunteers-20k-debt-following-brutal-university-field-trip-shark-attack/news-story/0508038f91abb5d88df7d22e26115fa0,
1077,2,2018,uninjured,WA,"avalon point, mandurah",-32.5361,115.7424,coastal,whaler shark,provoked,1,spearfishing,,,,,male,,,,,
1078,2,2018,injured,NSW,"kiama surf beach, kiama",-34.67,150.84,coastal,whaler shark,unprovoked,1,other: standing in water,,,"leg, foot",minor lacerations,male,1620,,,,
1079,2,2018,injured,WA,"mullaoo beach, joondalup",-31.7789,115.7326,coastal,wobbegong,unprovoked,1,swimming,bit her on left shin,,calf,minor lacerations,female,,,,,
1080,2,2018,injured,WA,"rocky point, eagle bay",-33.5638,115.0629,coastal,wobbegong,provoked,,snorkelling,hard part of leg,,leg,minor lacerations,male,,2,,,
1081,2,2018,injured,NSW,"congwong beach, botany bay",-33.993,151.1753,coastal,white shark,unprovoked,1,swimming,,,leg,major lacerations,female,1900,,,https://www.theaustralian.com.au/news/nation/sydney-shark-survivor-lucky-to-be-alive/news-story/b7e9344027a97c627754b4bb5de08e29,
1082,3,2018,uninjured,WA,hamelin bay,-34.2256,115.0609,coastal,tiger shark,provoked,1,snorkelling,"swam towards diver who poked shark with snare, shark bit snare and swam off",,other: uninjured,,male,,,,email from wa fisheries,
1083,3,2018,injured,VIC,"winkipop, bell's beach",-38.37,144.28,coastal,bronze whaler shark,unprovoked,1,boarding,,,foot,minor lacerations,male,,,,https://www.trackingsharks.com/teen-surfer-nipped-by-shark-at-winkipop/,
1084,4,2018,injured,WA,"lefthanders, gracetown",-33.8416,115.0221,coastal,white shark,unprovoked,1,boarding,bit board 3 times,,thigh,minor lacerations,male,1440,0,,http://www.abc.net.au/news/2018-04-16/man-attacked-by-shark-near-gracetown-in-western-australia/9662422,
1085,4,2018,injured,WA,"cobblestones beach, gracetown",-33.8416,115.0221,coastal,white shark,unprovoked,1,boarding,,,calf,major lacerations,male,,0,,https://www.news.com.au/lifestyle/real-life/true-stories/shark-attack-survivor-reveals-what-it-is-like-to-face-off-with-a-great-white/news-story/0894c012a94b2df03a663e44a037772c,
1086,4,2018,uninjured,WA,"main break, prevelly",-33.9825,114.9922,coastal,white shark,unprovoked,1,boarding,hit board from below,,other: uninjured,,male,0930,0,,https://www.perthnow.com.au/news/sharks/margaret-river-surfer-rob-bruce-shunted-off-board-by-shark-ng-b88817498z,
1087,5,2018,uninjured,WA,"lefthanders, gracetown",-33.8416,115.0221,coastal,white shark,unprovoked,1,boarding,hit board from underneath and lifted surfer off board and then swam away,,other: uninjured,,female,1130,0,,http://sharksmart.com.au/news/shark-warning-for-waters-around/,
1088,6,2018,injured,NSW,"arrawarra beach, coffs harbour",-30.296,153.11,coastal,wobbegong,unprovoked,1,boarding,,,"calf, foot",minor lacerations,male,,,,dpi questionnaire - in elo,
1089,6,2018,uninjured,NSW,"flat rock, ballina",-28.84,153.601,coastal,white shark,unprovoked,1,boarding,"witness saw him knocked off, but didn’t see the shark. shark took bite out of back of board - left tooth in board.",,other: uninjured,,male,,,government report,https://www.dailytelegraph.com.au/news/nsw/ballina-kite-surfer-discovers-shark-tooth-in-surfboard/news-story/7a360884bc84b6e70df0df2110d2e1f1,
1090,9,2018,injured,QLD,"cid harbour, whitsundays",-20.25,148.9333,coastal,tiger shark,unprovoked,1,swimming,,,,major lacerations,female,,,,,
1091,9,2018,injured,QLD,"cid harbour, whitsundays",-20.25,148.9333,coastal,tiger shark,unprovoked,1,swimming,,,,major lacerations,female,,,,,
1092,9,2018,injured,NT,"groote eylandt, arnhem land (east)",-13.97,136.5933,island open ocean,bull shark,unprovoked,1,,,,,,male,,,,https://www.katherinetimes.com.au/story/5675943/shark-attack-victim-flown-to-darwin/,
1093,10,2018,injured,NSW,"samurai beach, nsw",-32.7667,152.0833,coastal,wobbegong,provoked,1,swimming,,,,,male,,,,,
1094,11,2018,fatal,QLD,"cid harbour, whitsundays",-20.25,148.9333,coastal,,unprovoked,1,boarding,,,"leg, arm",,male,,,,,
1095,11,2018,injured,NSW,"shelley beach, manly",-33.37,151.4859,coastal,wobbegong,unprovoked,1,boarding,laying on body board facing out to sea and bitten on ankle from behind,,foot,punctures,male,1640,,,https://myaccount.news.com.au/sites/dailytelegraph/subscribe.html?sourcecode=dtweb_wre170_a_ggl&mode=premium&dest=https://www.dailytelegraph.com.au/newslocal/manly-daily/wobbegong-identified-as-manly-shark-attack-culprit/news-story/30ba711c2446ac0e2db4143b30d2a1a1&memtype=anonymous,
1096,11,2018,injured,NSW,"shelly beach, ballina",-28.8632,153.5944,coastal,white shark,unprovoked,1,boarding,bit board from below,,thigh,minor lacerations,male,0645,,,"https://www.9news.com.au/2018/11/07/08/26/shark-attack-nsw-ballina-shelley-beach-man-in-hospital-leg-gash
",
1097,11,2018,uninjured,QLD,"moffat beach, sunshine coast",-26.791,153.139,coastal,tiger shark,unprovoked,1,,,,,,,,,,https://www.abc.net.au/news/2018-11-15/kayaker-escapes-shark-attack-moffat-beach-qld/10499556,
1098,11,2018,injured,NSW,"seven mile beach, nowra",-34.830278,150.7561,coastal,wobbegong,unprovoked,1,boarding,shark never sighted,,"leg, hand",minor lacerations,male,1300,,,https://www.abc.net.au/news/2018-11-17/shark-attack-at-gerroa-nsw-south-coast-man-hospitalised/10507750,
1099,11,2018,injured,NT,nhulunbuy,-12.1825,136.7819,coastal,whaler shark,provoked,1,spearfishing,,,"arm, leg",major lacerations,male,1000,,,https://www.abc.net.au/news/2018-11-18/teenager-attacked-by-shark-off-nhulunbuy-nt/10508880,
1100,11,2018,injured,WA,"pyramids beach, mandurah",-32.6036,115.6304,coastal,grey nurse shark,unprovoked,1,boarding,laying on body board facing out to sea and bitten on ankle from behind,,foot,minor lacerations,male,0900,,,https://www.perthnow.com.au/news/sharks/shark-attack-reported-near-mandurah-ng-b881018238z,
1101,12,2018,injured,NSW,"the bar, nambucca river entrance",-30.643181,153.008839,estuary/harbour,,unprovoked,,,,,,,,,,,,
1102,12,2018,injured,NSW,"the entrance, gosford",-33.425018,151.342224,coastal,wobbegong,provoked,1,swimming,,,left foot,minor lacerations,male,1100,,,https://www.nbnnews.com.au/2018/12/15/man-treated-for-minor-injuries-following-central-coast-shark-bite/,
1103,1,2019,injured,WA,north cottesloe,-31.989,115.7526,coastal,wobbegong,unprovoked,1,swimming,,,foot,minor lacerations,female,1130,,,thewest.com and questionnaire from wa dpi,
1106,2,2019,injured,NT,umbakumba - 12 km out to sea,-13.8611,136.8116,ocean/pelagic,whitetip reef shark,provoked,1,,,,,,,,,,https://www.abc.net.au/news/2019-02-11/spearfisher-attacked-by-shark-in-remote-nt-waters/10798762; https://au.news.yahoo.com/mans-horror-injuries-attacked-shark-spearfishing-201946741.html?guccounter=1,
